time.hrs	pvc.conc	food	egg.sac
0	0	Y	6.666666667
0	0	N	6.666666667
0	0.0125	Y	6.666666667
0	0.0125	N	6.666666667
0	0.5	Y	6.666666667
0	0.5	N	6.666666667
0	1	Y	6.666666667
0	1	N	6.666666667
48	0	Y	7
48	0	Y	5
48	0	N	9
48	0	N	6
48	0.0125	Y	7
48	0.0125	Y	6
48	0.0125	N	7
48	0.0125	N	4
48	0.5	Y	8
48	0.5	Y	7
48	0.5	N	7
48	0.5	N	3
48	1	Y	3
48	1	Y	7
48	1	N	8
48	1	N	4
96	0	Y	10
96	0	Y	7
96	0	N	10
96	0	N	8
96	0.0125	Y	10
96	0.0125	Y	8
96	0.0125	N	10
96	0.0125	N	5
96	0.5	Y	8
96	0.5	Y	7
96	0.5	N	8
96	0.5	N	2
96	1	Y	7
96	1	Y	9
96	1	N	7
96	1	N	7
144	0	Y	15
144	0	Y	12
144	0	N	10
144	0	N	11
144	0.0125	Y	10
144	0.0125	Y	7
144	0.0125	N	11
144	0.0125	N	10
144	0.5	Y	10
144	0.5	Y	9
144	0.5	N	5
144	0.5	N	4
144	1	Y	7
144	1	Y	6
144	1	N	7
144	1	N	8
