time.hrs	pvc.conc	food	mortality
24	0	Y	1
24	0	Y	2
24	0	Y	2
24	0	N	2
24	0	N	2
24	0	N	2
24	0.0125	Y	1
24	0.0125	Y	2
24	0.0125	Y	0
24	0.0125	N	1
24	0.0125	N	1
24	0.0125	N	1
24	0.5	Y	2
24	0.5	Y	2
24	0.5	Y	0
24	0.5	N	2
24	0.5	N	0
24	0.5	N	1
24	1	Y	2
24	1	Y	1
24	1	Y	1
24	1	N	0
24	1	N	1
24	1	N	1
48	0	Y	1
48	0	Y	2
48	0	Y	3
48	0	N	2
48	0	N	4
48	0	N	4
48	0.0125	Y	1
48	0.0125	Y	1
48	0.0125	Y	2
48	0.0125	N	5
48	0.0125	N	4
48	0.0125	N	3
48	0.5	Y	0
48	0.5	Y	0
48	0.5	Y	0
48	0.5	N	1
48	0.5	N	1
48	0.5	N	1
48	1	Y	2
48	1	Y	4
48	1	Y	2
48	1	N	1
48	1	N	0
48	1	N	0
48	0	Y	3
48	0	N	0
48	0.0125	Y	1
48	0.0125	N	1
48	0.5	Y	2
48	0.5	N	2
48	1	Y	1
48	1	N	1
72	0	Y	1
72	0	Y	1
72	0	Y	0
72	0	N	3
72	0	N	4
72	0	N	2
72	0.0125	Y	0
72	0.0125	Y	3
72	0.0125	Y	2
72	0.0125	N	6
72	0.0125	N	3
72	0.0125	N	4
72	0.5	Y	0
72	0.5	Y	1
72	0.5	Y	1
72	0.5	N	2
72	0.5	N	2
72	0.5	N	2
72	1	Y	5
72	1	Y	4
72	1	Y	4
72	1	N	3
72	1	N	2
72	1	N	3
